@RELATION STAR-B-BE

@ATTRIBUTE jh NUMERIC
@ATTRIBUTE hk NUMERIC
@ATTRIBUTE jk NUMERIC
@ATTRIBUTE grp {b,be}


@DATA
-0.035000086,-0.18600011,-0.2210002,b
0.059000015,0.04699993,0.10599995,b
-0.0539999,-0.021000385,-0.075000286,b
0.032999992,0.04400015,0.07700014,b
-0.15799999,-0.19999981,-0.3579998,b
0.004000187,0.072999954,0.07700014,b
-0.006000042,0.059999943,0.0539999,b
0.027999878,-0.001999855,0.026000023,b
-0.02699995,0.001999855,-0.025000095,b
-0.04099989,0.018000126,-0.022999763,b
-0.04300022,0.092999935,0.049999714,b
0.33000016,0.0039999485,0.3340001,b
0.23999977,-0.007999897,0.23199987,b
-0.0050001144,0.018000126,0.013000011,b
0.027999878,0.07000017,0.09800005,b
0.13000011,0.07600021,0.20600033,b
0.36899996,0.19799995,0.5669999,b
0.07099962,0.069000244,0.13999987,b
-0.024000168,-0.21399999,-0.23800015,b
-0.029999733,-0.01600027,-0.046000004,b
-0.08500004,0.0029997826,-0.082000256,b
-0.058000088,0.11000013,0.052000046,b
-0.0880003,0.0,-0.0880003,b
0.12000036,0.096999645,0.21700001,b
-0.059999943,0.0049996376,-0.055000305,b
-0.026000023,0.004000187,-0.021999836,b
0.011000156,0.013999939,0.025000095,b
-0.059999943,-0.0049996376,-0.06499958,b
-0.022000313,0.06400013,0.041999817,b
-0.07800007,-0.0149998665,-0.092999935,b
-0.06399965,-0.019000053,-0.082999706,b
-0.10500002,-0.014000416,-0.119000435,b
-0.024999857,-0.17500019,-0.20000005,b
0.16799927,0.037000656,0.20499992,b
0.089000225,0.17299986,0.26200008,b
-0.03000021,-0.024000168,-0.054000378,b
-0.059999943,-0.004000187,-0.06400013,b
-0.055000067,-0.046000004,-0.10100007,b
0.023999214,0.016000748,0.03999996,b
-0.08199978,0.12099981,0.039000034,b
-0.017000198,0.0,-0.017000198,b
0.039000034,0.032000065,0.0710001,b
-0.123000145,-0.078999996,-0.20200014,b
0.06099987,-0.013000011,0.04799986,b
0.12699986,0.11800003,0.24499989,b
-0.038000107,-0.0539999,-0.09200001,b
9.999275E-4,0.045000076,0.046000004,b
-0.001999855,-0.020999908,-0.022999763,b
-0.09800005,0.058000088,-0.03999996,b
0.065999985,0.052000046,0.11800003,b
-0.07600021,0.021999836,-0.054000378,b
-0.0050001144,0.0050001144,0.0,b
-0.024000168,-0.016999722,-0.04099989,b
0.08699989,0.06099987,0.14799976,b
0.048999786,-0.009999752,0.039000034,b
-0.08400011,-0.041999817,-0.12599993,b
0.8660002,0.16799974,1.0339999,b
0.2329998,0.16600037,0.39900017,b
0.73500013,0.12800026,0.8630004,b
0.18900013,0.10400009,0.29300022,b
-0.05100012,0.010000229,-0.04099989,b
-0.011000156,0.06400013,0.052999973,b
-0.05700016,0.027000427,-0.029999733,b
-0.031000137,0.085999966,0.05499983,b
-0.061000824,0.011000633,-0.05000019,b
0.116000175,0.12199974,0.23799992,b
-0.02699995,0.0069999695,-0.01999998,b
-0.018000126,0.01999998,0.001999855,b
-0.055000305,0.018000126,-0.03700018,b
0.03600025,0.039000034,0.075000286,b
-0.03999996,0.052999973,0.013000011,be
0.04099989,0.13499975,0.17599964,be
-0.0069999695,0.001999855,-0.0050001144,be
0.059999943,0.09800005,0.15799999,be
0.20900059,0.17999935,0.38899994,be
0.058000088,0.106999874,0.16499996,be
-0.028999329,0.11399937,0.08500004,be
0.017999649,0.045000076,0.062999725,be
0.04099989,0.20800018,0.24900007,be
0.07200003,0.09700012,0.16900015,be
-0.013999939,0.033999443,0.019999504,be
0.046000004,0.23699999,0.283,be
-0.062999725,-0.0030002594,-0.065999985,be
-0.018000126,0.024000168,0.006000042,be
-0.05000019,-0.13399982,-0.18400002,be
0.16600037,0.19599962,0.362,be
0.1670003,0.076999664,0.24399996,be
0.059000015,0.0880003,0.14700031,be
-0.05099964,0.019000053,-0.031999588,be
0.013000011,0.013000011,0.026000023,be
-0.050000012,-0.014999986,-0.065,be
0.19000006,0.2909999,0.48099995,be
0.09399986,0.24599981,0.33999968,be
0.19799995,0.35700035,0.5550003,be
0.12699986,0.19099998,0.31799984,be
0.062999725,0.061000824,0.12400055,be
0.24999952,0.34500027,0.5949998,be
0.1329999,0.18300009,0.31599998,be
0.13099957,0.25800037,0.38899994,be
0.12100029,0.31099987,0.43200016,be
0.25799942,0.21700048,0.4749999,be
0.40199995,0.32200003,0.724,be
-0.02199936,0.04699993,0.025000572,be
0.14100027,0.1630001,0.30400038,be
-0.05499983,0.0049996376,-0.05000019,be
-0.059000015,-0.034999847,-0.09399986,be
0.052999973,0.119999886,0.17299986,be
0.18099976,0.23699999,0.41799974,be
0.078999996,0.119999886,0.19899988,be
0.3930006,0.31099987,0.7040005,be
-0.0030002594,0.026000023,0.022999763,be
0.15299988,0.092999935,0.24599981,be
0.625,0.18300009,0.8080001,be
0.12000036,0.23399973,0.3540001,be
0.020999908,0.04099989,0.061999798,be
0.11000013,0.04099989,0.15100002,be
-0.07900047,-0.036999702,-0.116000175,be
-0.001999855,-0.001999855,-0.00399971,be
-0.026000023,0.026000023,0.0,be
0.038999557,0.04600048,0.08500004,be
0.08300018,0.12699986,0.21000004,be
0.19899988,0.23600006,0.43499994,be
-0.02699995,-9.999275E-4,-0.027999878,be
-0.045000076,0.016999722,-0.028000355,be
-0.032000065,-0.011999607,-0.043999672,be
0.1630001,0.046000004,0.20900011,be
0.116000175,0.24800014,0.36400032,be
0.18800068,0.21299982,0.4010005,be
-0.10400009,0.034000397,-0.069999695,be
-0.013999939,0.008000374,-0.005999565,be
-0.007999897,0.16400003,0.15600014,be
-0.07600021,0.089000225,0.013000011,be
0.0,0.09899998,0.09899998,be
0.001999855,0.0069999695,0.0089998245,be
0.01999998,0.13000011,0.1500001,be
0.05000019,0.11799955,0.16799974,be
0.09700012,0.112999916,0.21000004,be
0.07600021,0.15299988,0.22900009,be
0.13199997,0.18600035,0.31800032,be
-0.08799982,0.08799982,0.0,be
0.17299986,0.22200012,0.39499998,be
0.078999996,0.102999926,0.18199992,be
0.072999954,0.12199974,0.1949997,be
0.07200003,0.20900011,0.28100014,be
0.07200003,0.11399984,0.18599987,be
0.50600004,0.15999985,0.6659999,be
-0.069000244,0.14100027,0.07200003,be
0.12699986,0.20600033,0.33300018,be
0.077999115,0.18400002,0.26199913,be
-0.08899975,0.29299974,0.204,be
0.019000053,-0.019999504,-9.994507E-4,be
0.04400015,0.13199997,0.17600012,be
0.04300022,0.1949997,0.23799992,be
-0.024000168,0.06400013,0.03999996,be
-0.038999557,-0.017000198,-0.055999756,be
0.092999935,0.12400007,0.21700001,be
0.11100006,0.18599987,0.29699993,be
0.08899975,0.10000038,0.18900013,be
0.43400002,0.10000038,0.5340004,be
0.40299988,0.11499977,0.51799965,be
0.23600006,0.18599987,0.42199993,be
-0.11700058,0.032999992,-0.08400059,be
0.022000313,0.11899996,0.14100027,be
0.024000168,0.13000011,0.15400028,be
0.096999645,0.17300034,0.26999998,be
-0.03999996,-0.07000065,-0.11000061,be
0.47700024,0.2750001,0.75200033,be
-0.016999722,-0.028000355,-0.045000076,be
0.05000019,0.11199999,0.16200018,be
-0.019000053,0.085999966,0.06699991,be
-0.0050001144,-0.031000137,-0.03600025,be
-0.052999973,0.07399988,0.020999908,be
0.18900013,0.27699995,0.46600008,be
-0.04799986,0.061999798,0.013999939,be
-0.056999683,0.11499977,0.058000088,be
0.078999996,0.24000025,0.31900024,be
0.09499979,0.2880001,0.3829999,be
0.06899977,0.028999805,0.09799957,be
-0.13700008,0.0030002594,-0.13399982,be
0.10999966,0.19799995,0.3079996,be
0.08899975,0.19200039,0.28100014,be
-0.046000004,0.23899984,0.19299984,be
-0.04300022,-0.013999939,-0.05700016,be
0.09599972,0.115000725,0.21100044,be
0.1539998,0.24800014,0.40199995,be
0.0880003,0.11899996,0.20700026,be
0.012000084,0.05099964,0.062999725,be
-0.09599972,-0.008000374,-0.10400009,be
-0.11100006,-0.0149998665,-0.12599993,be
-0.109000206,0.03000021,-0.078999996,be
0.099999905,0.09599972,0.19599962,be
0.061000347,0.15999985,0.2210002,be
-0.032000065,0.099999905,0.06799984,be
0.09399986,0.28100014,0.375,be
0.13300037,0.2079997,0.34100008,be
0.029999733,-0.019000053,0.01099968,be
-0.03099966,0.01099968,-0.01999998,be
-0.056000233,-0.019999504,-0.07599974,be
-0.13799953,0.06499958,-0.072999954,be
0.08199978,0.17000008,0.25199986,be
0.13700008,0.08899975,0.22599983,be
0.0149998665,0.32399988,0.33899975,be
0.13000011,0.1539998,0.28399992,be
0.119999886,0.12799978,0.24799967,be
0.14599991,0.15700006,0.30299997,be
0.08500004,0.14499998,0.23000002,be
0.028000355,0.13899994,0.1670003,be
9.999275E-4,0.019000053,0.01999998,be
-0.0030002594,0.01099968,0.00799942,be
-0.022999763,0.21799994,0.19500017,be
-0.05100012,-0.045000076,-0.096000195,be
0.052000046,0.006000519,0.058000565,be
-0.052999973,-0.05499983,-0.1079998,be
0.09200001,0.11100006,0.20300007,be
-0.09700012,0.05000019,-0.04699993,be
-0.11500025,-0.039000034,-0.15400028,be
0.119999886,0.16200018,0.28200006,be
