# col1    HIP     RA               DE               RARad          DERad          
  36397   36397   112.3449162878   -21.8692248791   1.9607886871   -0.381689979   
  36404   36404   112.3665564053   -21.8586309984   1.9611663784   -0.3815050809  
  36722   36722   113.2968550341   -11.6117277166   1.9774031525   -0.2026628805  
  36778   36778   113.4627061935   -36.3384016555   1.9802978013   -0.6342247538  
  36949   36949   113.9479451357   -22.8774858408   1.9887668185   -0.3992874525  
  36969   36969   113.9908240366   -3.3683030713    1.9895151965   -0.0587879788  
  36981   36981   114.0162400204   -14.4927734186   1.9899587891   -0.2529466139  
  37119   37119   114.4116871827   -14.4407654322   1.9968606441   -0.2520389033  
  37345   37345   114.99163237     -37.5794128157   2.0069825971   -0.6558844846  
  37647   37647   115.883881416    -4.680655424     2.0225552807   -0.0816928483  
  37675   37675   115.9496568448   -40.3093280191   2.0237032785   -0.7035304932  
  37743   37743   116.1225920831   -21.5067789285   2.0267215678   -0.3753641038  
  37784   37784   116.219828676    -16.1222400288   2.0284186665   -0.2813861713  
  38029   38029   116.8974977626   -30.5486369515   2.0402462233   -0.5331742968  
  38070   38070   117.0215622506   -25.9371804365   2.0424115571   -0.4526891973  
  38224   38224   117.4675831484   -40.9145591174   2.0501960903   -0.7140937686  
  38433   38433   118.0928149084   -59.4931388226   2.0611084431   -1.0383511548  
  38434   38434   118.0943255231   3.8431568727     2.0611348083   0.0670757411   
  38439   38439   118.1252977078   -21.9997533509   2.0616753749   -0.3839681306  
  38510   38510   118.2995293089   -45.2187592283   2.06471629     -0.7892162322  
  38551   38551   118.4106588564   -23.31372455     2.0666558665   -0.4069012543  
  38779   38779   119.0657325903   -61.0994654322   2.07808906     -1.066386843   
  38855   38855   119.2666464921   2.9508474198     2.0815956691   0.0515020032   
  38994   38994   119.7106538902   -60.8244883816   2.0893450601   -1.0615875881  
  39004   39004   119.729000291    -32.5576989356   2.0896652652   -0.5682390433  
  39013   39013   119.7530642549   -48.376321295    2.0900852606   -0.8443260866  
  39020   39020   119.7716724917   -25.2769465186   2.0904100356   -0.4411659416  
  39172   39172   120.1839071168   -2.8819247854    2.0976048871   -0.0502990763  
  39834   39834   122.0806833877   -23.6177967068   2.1307098782   -0.4122083146  
  39843   39843   122.1027109335   -63.800833913    2.1310943314   -1.1135346173  
  39866   39866   122.1568671965   -37.6812417799   2.1320395365   -0.6576617353  
  40148   40148   122.9784202865   -30.2119020407   2.1463783429   -0.5272971639  
  40274   40274   123.3730102237   -35.8995420941   2.1532652365   -0.6265652095  
  40299   40299   123.4402430566   -46.5786945341   2.1544386708   -0.8129515809  
  40397   40397   123.7135211154   -46.4859109233   2.1592082727   -0.8113322014  
  41255   41255   126.2516735614   -12.7647898954   2.2035073898   -0.222787612   
  41501   41501   126.9603708967   -50.1000384942   2.2158764917   -0.8744106271  
  41599   41599   127.2169470811   -42.58749878     2.2203545909   -0.7432920739  
  41621   41621   127.2815533208   -44.1604312492   2.2214821825   -0.7707449244  
  41774   41774   127.774732696    -39.0609754361   2.2300897864   -0.6817426304  
  41862   41862   128.0362680535   -36.107566173    2.2346544395   -0.6301959146  
  41882   41882   128.0974354521   -49.6013344136   2.235722012    -0.8657065989  
  42251   42251   129.2195979196   -63.6276281241   2.2553074418   -1.110511606   
  42774   42774   130.7360730357   -77.1178114537   2.2817749256   -1.3459597218  
  42932   42932   131.2584554509   -41.5161984005   2.2908922187   -0.724594355   
  43105   43105   131.6773298834   -56.7697971181   2.2982029567   -0.9908198754  
  43229   43229   132.0869156617   -46.9105476439   2.3053515771   -0.8187435103  
  43955   43955   134.2814908145   -43.2562045148   2.3436541392   -0.7549631907  
  44105   44105   134.74721325     3.6561176481     2.3517825291   0.0638112908   
