# col1    HIP     RA               DE               RARad          DERad           _r        _RAJ2000     _DEJ2000     RAJ2000      DEJ2000      2MASS              Jmag     e_Jmag   Hmag     e_Hmag   Kmag     e_Kmag   Qflg Rflg Bflg Cflg Xflg   Aflg   Separation             
  22034   22034   71.0542137641    40.7865108825    1.2401299776   0.7118589053    7.8E-5    71.054262    40.786442    71.054262    40.786442    04441302+4047111   5.756    0.018    5.78     0.017    5.716    0.024    AAA 111 111 000 0      0      7.796562661129702E-5   
  22331   22331   72.1435038954    48.5444086285    1.2591416769   0.847259764     1.9E-5    72.143494    48.544426    72.143494    48.544426    04483443+4832399   8.661    0.021    8.7      0.033    8.717    0.022    AAA 112 111 000 0      0      1.856573422854596E-5   
  23201   23201   74.898441283     25.8074997245    1.307224405    0.4504258419    3.0E-5    74.898414    25.807482    74.898414    25.807482    04593561+2548269   7.095    0.018    7.002    0.02     6.878    0.027    AAA 111 111 000 0      0      3.028930666681805E-5   
  23436   23436   75.5662206654    24.029170417     1.3188793539   0.4193881403    2.4E-5    75.566246    24.029165    75.566246    24.029165    05021589+2401449   7.644    0.026    7.533    0.033    7.347    0.02     AAA 111 111 000 0      0      2.376467941371131E-5   
  23624   23624   76.1839857024    44.9586250505    1.3296613878   0.7846760343    6.0E-5    76.183994    44.958565    76.183994    44.958565    05044415+4457308   8.481    0.021    8.392    0.047    8.292    0.023    AAA 112 111 000 0      0      6.033686590751186E-5   
  23727   23727   76.5133987627    80.2478477227    1.3354107303   1.4005891604    5.5E-5    76.513343    80.247902    76.513343    80.247902    05060320+8014524   9.191    0.021    8.757    0.016    8.657    0.019    AAA 222 111 000 0      0      5.509302431571401E-5   
  23734   23734   76.535249402     58.9723909643    1.3357920959   1.0292623901    3.3E-5    76.535254    58.972424    76.535254    58.972424    05060846+5858207   5.424    0.274    5.021    0.021    4.906    0.016    DAA 311 111 000 0      0      3.312060653717501E-5   
  23883   23883   76.9809784982    21.7048359768    1.3435715362   0.3788208514    1.5E-5    76.980978    21.704821    76.980978    21.704821    05075543+2142173   5.197    0.037    4.961    0.044    4.775    0.018    EEA 111 111 000 0      0      1.4983951236792704E-5  
  23921   23921   77.1102313023    -40.9124542423   1.3458274232   -0.7140570316   3.4E-5    77.110263    -40.91243    77.110263    -40.91243    05082646-4054447   8.162    0.027    8.279    0.057    8.246    0.016    AAA 111 111 000 0      0      3.408075756927047E-5   
  23972   23972   77.2865958362    -8.754075996     1.348905565    -0.1527874491   3.6E-5    77.286571    -8.754102    77.286571    -8.754102    05090877-0845147   4.854    0.204    4.832    0.076    4.713    0.02     CEA 311 111 000 0      0      3.5759712819279305E-5  
  24029   24029   77.4851400075    37.0044528425    1.3523708145   0.64584954      5.6E-5    77.485129    37.004398    77.485129    37.004398    05095643+3700158   7.688    0.018    7.664    0.023    7.534    0.021    AAA 111 111 000 0      0      5.5542525563557766E-5  
  24118   24118   77.7008448779    41.0029030845    1.3561355747   0.7156356617    1.5E-5    77.700841    41.002888    77.700841    41.002888    05104820+4100103   7.911    0.017    7.814    0.016    7.641    0.018    AAA 111 111 000 0      0      1.5365770139497784E-5  
  24201   24201   77.9288663125    42.1653584938    1.3601152995   0.735924336     2.2E-5    77.928847    42.165375    77.928847    42.165375    05114292+4209553   8.431    0.023    8.471    0.029    8.541    0.021    AAA 122 111 000 0      0      2.1848643036835142E-5  
  24238   24238   78.0603980735    41.2152249656    1.3624109618   0.7193413776    6.7E-5    78.060322    41.215191    78.060322    41.215191    05121447+4112546   6.373    0.024    5.896    0.033    5.621    0.016    AAA 111 111 000 0      0      6.654640211618299E-5   
  24326   24326   78.3055562117    40.1935412587    1.3666897785   0.701509633     3.6E-5    78.305555    40.193577    78.305555    40.193577    05131333+4011368   7.44     0.018    7.457    0.016    7.485    0.02     AAA 111 111 000 0      0      3.575328268629636E-5   
